firstName,lastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,status,active,statsperform_id,opta_id,stats_id,placeOfBirth,height,foot,weight
Amadou,Sagna,A. Sagna,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,6/10/1999,Senegal,6hhqyhr5cwq2pfprlazyposyk,,active,no,dt97y5xnm45fh9wf0w9h4sxuy,476403,1167619,Dakar,174,right,71
Stefano,Denswil,S. Denswil,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,5/7/1993,Netherlands,6hzi5pltnz67q4la8yli9qfv6,24,active,no,e85uwmwpyp8reafm1pp6zldxx,111729,614859,Zaandam,188,left,81
Simon Désiré Sylvanus,Deli,S. Deli,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,10/27/1991,Côte d'Ivoire,tin6kf561ywonqan0mettr98,17,active,no,ef90s58yxd1nml76sq18ff4r9,215437,857207,Abidjan,192,right,84
Krépin,Diatta,K. Diatta,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,2/25/1999,Senegal,6hhqyhr5cwq2pfprlazyposyk,11,active,no,f5j3vhj805xtkos7l538u0d7t,249956,977567,Dakar,173,right,68
Noah,Mbamba-Muanda,N. Mbamba-Muanda,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1/5/2005,Belgium,4wbzjcclyefma1ourvjsu4q2j,72,active,yes,jw8lb54ua2iufebwnu8k68t0,530081,1268980,,,,
Brandon,Mechele,B. Mechele,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1/28/1993,Belgium,4wbzjcclyefma1ourvjsu4q2j,44,active,yes,l6y4o9t2b0jxaxo85oztok45,161049,706464,Bredene,188,right,81
Hans,Vanaken,H. Vanaken,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,8/24/1992,Belgium,4wbzjcclyefma1ourvjsu4q2j,20,active,yes,x3g0yyxs0j4o8fxphxtf0st1,167763,601769,Neerpelt,194,both,77
Sven,Kums,S. Kums,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2/26/1988,Belgium,4wbzjcclyefma1ourvjsu4q2j,24,active,yes,18pgjfpl9s8qy32mblzygsyc5,53720,376690,Asse,176,right,63
Chinonso,Emeka,C. Emeka,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,8/30/2001,Nigeria,63pvdwrsiq5b07mzi8igqei9p,16,active,yes,1dluk435oh06er5avj9ilstpm,484675,1167874,,189,,
Adewale,Oladoye,A. Oladoye,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,8/25/2001,Nigeria,63pvdwrsiq5b07mzi8igqei9p,17,active,yes,1vpff34fz64qczi6jq049qrdg,538773,1284946,,,,
Sulayman,Marreh,S. Marreh,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Midfielder,player,1/15/1996,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,22,active,yes,2cc5y9hjnc8nqrh58ojz6ajth,181407,805130,Banjul,184,right,78
Ahmed Mostafa,Taher,Ahmed Mostafa,Egypt,42vt7mha0thcwd0ihw3p29x5i,Midfielder,player,10/21/1997,Egypt,42vt7mha0thcwd0ihw3p29x5i,,active,no,2cjamd2xasvgw1f53iephrdka,455977,535290,,,right,
Roman,Yaremchuk,R. Yaremchuk,Ukraine,315w6fk6umfzf4qvba3t55u61,Attacker,player,11/27/1995,Ukraine,315w6fk6umfzf4qvba3t55u61,7,active,no,32eyq4xvy8s1ng11jnavvh32t,184855,870908,Lviv,191,both,78
Owen,Jochmans,O. Jochmans,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,1/28/2003,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,yes,3rr29v80s3fpvbquspzrrnofe,518317,1250810,Leuven,185,right,
Dogbole Franck Anderson,Niangbo,A. Niangbo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,10/6/1999,Côte d'Ivoire,tin6kf561ywonqan0mettr98,11,active,no,4ck2o7iiqc8vhbbpynf19td5h,173251,794952,,173,right,65
Alexandre,De Bruyn,A. De Bruyn,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,6/4/1994,Belgium,4wbzjcclyefma1ourvjsu4q2j,12,active,yes,4ku7qityj6ozes655l78qyqj9,454488,982640,,177,right,69
Colin,Coosemans,C. Coosemans,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,8/3/1992,Belgium,4wbzjcclyefma1ourvjsu4q2j,26,active,no,4x6oiw1rueiv2jzjs9k76h1p1,85666,514997,Gent,185,right,80
Niklas Bernd,Dorsch,N. Dorsch,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1/15/1998,Germany,36min0qztu8eydwvpv8t1is0m,30,active,no,5q3ft0wiy6lsy937j7nw6msq1,204587,892081,Lichtenfels,178,right,76
Dylan,Mbayo,D. Mbayo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,10/11/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,18,active,no,6eg8vaxpqsd6cyh736h7bq4x6,470845,1157939,,175,left,65
Igor,Plastun,I. Plastun,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,8/20/1990,Ukraine,315w6fk6umfzf4qvba3t55u61,32,active,no,6gs4lheg1iy38w6ltyvmgzjdh,68019,946050,Kiev,193,right,70
Sinan,Bolat,S. Bolat,Turkey,6kd6webenogylfgwt2aa9l6vx,Goalkeeper,player,9/3/1988,Turkey,6kd6webenogylfgwt2aa9l6vx,1,active,yes,6qlfe04qjldj3rkeeme6gdi39,54814,347143,Kayseri,186,right,83
Alessio,Castro-Montes,A. Castro-Montes,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,5/17/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,14,active,yes,7dayrhr0c60zbc1b6lig8pm8l,226858,915206,Sint-Truiden,174,right,67
Matisse,Samoise,M. Samoise,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,11/21/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,19,active,yes,7s4ws0u4erq1jfobqpsj0aoes,516217,1244729,,,right,
Tarik,Tissoudali,T. Tissoudali,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,4/2/1993,Netherlands,6hzi5pltnz67q4la8yli9qfv6,34,active,no,87ccrt89k5abyjisix22g08ut,193570,831622,Amsterdam,175,right,70
Osman,Bukari,O. Bukari,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,12/13/1998,Ghana,2q2sw72utw5gu9t5y4knckwba,20,active,no,8h9sizm6iwpsyvg6w81fvbsyy,457887,1136572,Accra,170,both,68
Vadis,Odjidja-Ofoe,V. Odjidja-Ofoe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2/21/1989,Belgium,4wbzjcclyefma1ourvjsu4q2j,8,active,yes,9hiut57u02lly1nfdixef8bth,49433,347133,Gent,185,right,79
Carl Mikael,Lustig,M. Lustig,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,12/13/1986,Sweden,1z6l2c33w2kyz9rdefs1d68nb,23,active,no,a1zsn9f50nmrmfktfxhr80ct1,52223,451443,Umeå,189,right,78
Thomas,Kaminski,T. Kaminski,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,10/23/1992,Belgium,4wbzjcclyefma1ourvjsu4q2j,1,active,no,ag4dpuocam5wfpvpyxtxhpa6t,54738,459368,Dendermonde,190,both,78
Tim,Kleindienst,T. Kleindienst,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,8/31/1995,Germany,36min0qztu8eydwvpv8t1is0m,34,active,no,aopmwx748flafzpj58w2afwlx,160201,732829,Jüterbog,194,right,85
Jonathan Christian,David,J. David,Canada,1iaoypzp6syf32cz9l15pzp7e,Attacker,player,1/14/2000,USA,7hr2f89v44y65dyu9k92vprwn,16,active,no,b8dd5q3n5irlkcv0ekzqhzc2x,421821,999457,New York,177,right,
